Date,AQI,PM10,CO,NO,NO2,O3,SO2,PM2_5,NH3,City,Latitude,Longitude
2022-08-28,1,5.248333333,176.9779167,0.364166667,8.213333333,54.09125,0.620416667,1.829583333,2.703333333,Amsterdam,52.3727598,4.8936041
2022-02-15,1,4.9275,268.6983333,0.369166667,17.35041667,44.70375,2.694583333,3.567916667,1.074166667,Amsterdam,52.3727598,4.8936041
2022-02-14,1,2.337916667,254.3733333,0.40375,12.4275,56.77375,2.39,1.386666667,1.549166667,Amsterdam,52.3727598,4.8936041
2022-02-10,1,5.35375,270.0891667,0.377083333,17.13375,52.13208333,3.055,3.66375,1.638333333,Amsterdam,52.3727598,4.8936041
2022-02-09,1,9.265,258.9625,0.185,21.12333333,42.00541667,3.2475,5.142916667,0.823333333,Amsterdam,52.3727598,4.8936041
2021-12-12,1,6.56,249.7833333,0.032916667,15.11916667,44.555,2.387083333,4.050833333,0.305,Amsterdam,52.3727598,4.8936041
2021-12-15,1,6.097916667,255.0683333,0.244166667,19.44208333,36.00833333,2.5225,3.44375,0.422916667,Amsterdam,52.3727598,4.8936041
2021-12-19,1,6.190833333,244.2208333,0.018333333,8.2625,66.87708333,1.364166667,1.742916667,0.6025,Amsterdam,52.3727598,4.8936041
2021-12-24,1,4.875833333,290.81125,1.182916667,20.40291667,28.20958333,1.775833333,3.234166667,0.761666667,Amsterdam,52.3727598,4.8936041
2021-12-25,1,2.312083333,277.1820833,0.217916667,11.56666667,62.97291667,1.962916667,1.7075,4.8525,Amsterdam,52.3727598,4.8936041
2021-12-27,1,5.995416667,357.985,19.73166667,28.46791667,1.244583333,1.654166667,5.090416667,1.157083333,Amsterdam,52.3727598,4.8936041
2021-12-28,1,4.6275,270.08875,0.12375,17.05416667,28.98166667,2.025833333,2.64875,0.440833333,Amsterdam,52.3727598,4.8936041
2021-12-29,1,8.619583333,290.3933333,8.0225,22.19875,20.00875,3.052083333,5.349583333,0.48875,Amsterdam,52.3727598,4.8936041
2021-12-30,1,7.474166667,220.2991667,0.026666667,9.36125,50.35125,1.864583333,4.661666667,0.1525,Amsterdam,52.3727598,4.8936041
2021-12-31,1,7.655,232.5366667,0.024583333,12.83041667,43.63041667,2.3175,4.267916667,0.302083333,Amsterdam,52.3727598,4.8936041
